player,position,team,man_tgt,man_grade,man_yprr
KeAndre Lambert-Smith,WR,LAC,4,94.4,9.91
Jahdae Walker,WR,CHI,4,91.3,4.14
Brennan Presley,WR,LA,6,87.2,5.84
Darius Cooper,WR,PHI,4,83.9,2.85
Tre Harris,WR,LAC,4,80.3,4.7
Coleman Owen,WR,IND,6,79.2,2
Theo Wease Jr.,WR,MIA,8,78.3,2.72
Isaac TeSlaa,WR,DET,6,77.5,1.58
Efton Chism III,WR,NE,6,74.4,2.56
Pat Bryant,WR,DEN,4,72.7,2.18
Jacoby Jones,WR,WAS,4,72.6,1.44
Roc Taylor,WR,PIT,4,72.6,3.17
Jaylin Lane,WR,WAS,4,69.7,2
Dalen Cambre,WR,NYG,4,69.6,2.43
Nick Nash,WR,ATL,4,68.8,1.69
Tez Johnson,WR,TB,5,68.1,1.06
Garrett Greene,WR,TB,5,67.5,2.41
Taylor Morin,WR,PHI,5,66.1,1.25
Xavier Guillory,WR,BAL,4,65.1,0.82
Jamaal Pritchett,WR,NYJ,8,62.6,0.52
Arian Smith,WR,NYJ,5,61.7,2.6
Ja'Corey Brooks,WR,WAS,5,58.2,0.68
Kyle Williams,WR,NE,4,54.5,0.55
Dominic Lovett,WR,DET,5,53.8,0.93
A.J. Henning,WR,MIA,4,52.8,1.07
Tetairoa McMillan,WR,CAR,4,51.8,2.5
Dontae Fleming,WR,MIN,4,47.6,1.64
